"","women","women","women","women","men","men","men","men"
"","bottom 90%","next 5%","next 4%","top 1%","bottom 90%","next 5%","next 4%","top 1%"
"","percent","percent","percent","percent","percent","percent","percent","percent"
"educational attainment","","","","","","","",""
"no certificate, diploma or degree","8.6","1.2","1.1","1.5","13.3","3.9","3.1","2.5"
"secondary (high) school diploma or equivalency certificate","25.1","9.4","9.4","9.6","28.5","15.0","12.6","9.9"
"apprenticeship or other certificate or diploma","7.0","1.7","1.5","1.1","14.5","14.4","11.7","4.7"
"college, cegep or other non-university certificate or diploma","26.6","18.4","14.8","10.7","19.2","22.2","18.4","10.7"
"university certificate or diploma below bachelor level","3.5","4.2","3.4","2.8","2.5","3.0","2.8","2.2"
"bachelor's degree","20.9","36.1","33.4","32.9","15.1","24.7","27.5","35.3"
"university certificate or diploma above bachelor's level","2.0","4.5","4.6","4.6","1.4","2.4","3.0","4.9"
"degree in medicine, dentistry, veterinary medicine or optometry","0.5","2.7","8.3","14.7","0.5","1.4","4.2","8.8"
"master's degree","5.3","17.8","17.8","18.5","4.4","10.1","12.3","17.5"
"earned doctorate degree","0.6","4.3","5.8","3.5","0.8","2.9","4.4","3.5"
"field of study for those with a bachelor's degree or more","","","","","","","",""
"education","16.5","11.5","5.4","3.4","6.7","4.8","1.9","0.8"
"visual and performing arts, and communications technologies","4.0","1.5","1.2","1.0","3.4","1.1","0.7","0.4"
"humanities","9.8","5.9","5.4","5.3","8.3","4.5","3.4","2.8"
"social and behavioural sciences and law","20.1","18.1","20.8","22.2","15.5","14.0","15.0","18.0"
"business, management and public administration","18.8","22.9","27.2","28.5","22.4","23.5","27.8","35.8"
"physical and life sciences and technologies","6.4","6.1","6.6","5.7","7.6","7.5","7.4","5.8"
"mathematics, computer and information sciences","2.9","4.1","3.5","2.2","7.5","9.0","6.2","3.2"
"architecture, engineering, and related technologies","4.1","6.4","6.0","4.0","18.3","24.0","23.2","16.1"
"agriculture, natural resources and conservation","1.6","1.3","1.1","0.6","2.4","2.1","1.6","0.8"
"health and related fields","15.5","22.1","22.8","27.2","7.5","8.9","12.3","16.2"
