"characteristics of completed court cases","selected sexual violations against children","selected sexual violations against children","selected sexual violations against children","selected sexual violations against children"
"characteristics of completed court cases","pre-2005","pre-2005","post-2005","post-2005"
"characteristics of completed court cases","number","percent","number","percent"
"number of charges per case","","","",""
"total summary cases","939","100","489","100"
"single charge","290","31","125","26"
"multiple charges","649","69","364","74"
"total indictable cases","961","100","649","100"
"single charge","190","20","130","20"
"multiple charges","771","80","519","80"
"number of appearances in case","","","",""
"total summary cases","939","100","489","100"
"1 or 2 appearances","84","9","29","6"
"3 to 5 appearances","272","29","98","20"
"6 to 10 appearances","357","38","169","35"
"over 10 appearances","226","24","193","39"
"total indictable cases","961","100","649","100"
"1 or 2 appearances","48","5","20","3"
"3 to 5 appearances","216","22","95","15"
"6 to 10 appearances","375","39","230","35"
"over 10 appearances","322","34","304","47"
"case length","","","",""
"total summary cases","939","100","489","100"
"1 day","26","3","9","2"
"2 days to less than 2 months","89","9","41","8"
"2 to less than 4 months","128","14","40","8"
"4 to less than 8 months","231","25","120","25"
"8 to less than 12 months","218","23","106","22"
"1 year or longer","247","26","173","35"
"total indictable cases","961","100","649","100"
"1 day","10","1","7","1"
"2 days to 2 months","60","6","26","4"
"2 to less than 4 months","103","11","59","9"
"4 to less than 8 months","253","26","144","22"
"8 to less than 12 months","207","22","137","21"
"1 year or longer","328","34","276","43"
