"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"almirante brown","2011-12","primera b nacional","1","0","0","0","-","-","0","0","1","0"
"almirante brown","2012-13","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"almirante brown","2013-14","primera b nacional","6","0","1","0","-","-","0","0","7","0"
"almirante brown","total","total","7","0","1","0","-","-","0","0","8","0"
"velez sarsfield","2014","torneo federal b","12","0","1","0","-","-","0","0","13","0"
"velez sarsfield","2015","torneo federal a","0","0","0","0","-","-","0","0","0","0"
"velez sarsfield","total","total","12","0","1","0","-","-","0","0","13","0"
"san martin","2015","torneo federal b","8","0","0","0","-","-","0","0","8","0"
"el porvenir de san clemente","2017","torneo federal b","16","2","0","0","-","-","0","0","16","2"
"almirante brown","2018-19","primera b metropolitana","5","0","0","0","-","-","0","0","5","0"
"career total","career total","career total","48","2","2","0","-","-","0","0","50","2"
