"province","being approachable and easy to talk to","ensuring safety of citizens","promptly responding to calls","treating people fairly","enforcing the laws","providing information on ways to prevent crime"
"province","percent","percent","percent","percent","percent","percent"
"newfoundland and labrador","80","67","59","70","56","65"
"prince edward island","81","72","73","76","65","65"
"nova scotia","75","68","65","67","58","60"
"new brunswick","76","72","68","72","66","63"
"quebec","71","76","75","75","71","66"
"ontario","73","70","70","67","65","61"
"manitoba","71","64","54","63","55","57"
"saskatchewan","72","63","55","63","55","58"
"alberta","71","67","64","66","61","61"
"british columbia","73","67","65","65","61","59"
"total - canada's provinces","73","70","68","68","65","62"
