"team","from","to","record","record","record","record","record","record","record","record","record"
"team","from","to","m","w","d","l","gf","ga","gd","win %","ref"
"carl zeiss jena","1 july 1971","23 october 1983","433","232","83","118","811","510","+301","53.58","none"
"rot-weiß erfurt","1 july 1984","28 april 1987","86","31","30","25","140","114","+26","36.05","none"
"fc karl-marx-stadt/ chemnitzer fc","1 july 1988","9 june 1993","184","82","52","50","248","196","+52","44.57","none"
"carl zeiss jena","2 october 1993","27 august 1994","36","9","17","10","37","32","+5","25.00","none"
"union berlin","25 january 1995","2 october 1995","27","17","6","4","60","24","+36","62.96","none"
"fc twente","1 january 1996","6 september 1999","150","69","35","46","235","183","+52","46.00","none"
"borussia monchengladbach","6 september 1999","1 march 2003","131","51","42","38","200","164","+36","38.93","none"
"hertha bsc","20 december 2003","30 june 2004","17","7","5","5","23","24","-1","41.18","none"
"1. fc nurnberg","9 november 2005","12 february 2008","91","33","31","27","131","102","+29","36.26","none"
"borussia monchengladbach","19 october 2008","28 may 2009","26","7","6","13","31","45","-14","26.92","none"
"total","total","total","1,181","538","307","336","1,916","1,394","+522","45.55","-"
