"country/region of birth","all","all","all","men","men","men","women","women","women"
"country/region of birth","2011","2015","change","2011","2015","change","2011","2015","change"
"country/region of birth","percent","percent","percentage point","percent","percent","percentage point","percent","percent","percentage point"
"united states, united kingdom, ireland, australia, new zealand","78.6","84.3","5.7","77.4","85.1","7.7","79.6","83.6","4.0"
"caribbean, central/south america","65.1","72.5","7.4","65.4","73.0","7.6","64.7","72.2","7.5"
"western/northern europe","79.3","82.6","3.3","81.5","84.0","2.5","77.1","81.3","4.2"
"southern europe","73.1","72.5","-0.6","74.2","73.6","-0.6","72.1","71.4","-0.7"
"eastern europe","66.7","69.7","3.0","66.7","70.6","3.9","66.7","68.9","2.2"
"south asia","72.4","80.5","8.1","73.7","79.5","5.8","71.1","81.5","10.4"
"southeast asia","64.5","74.6","10.1","66.1","74.1","8.0","63.3","75.0","11.7"
"east asia","59.8","64.1","4.3","60.3","65.4","5.1","59.3","62.9","3.6"
"west central asia and middle east","56.7","73.2","16.5","56.0","69.9","13.9","57.6","76.5","18.9"
"africa","67.1","78.4","11.3","72.7","79.4","6.7","60.4","77.3","16.9"
