"club","season","division","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"stoke city","1975-76","first division","3","0","0","0","0","0","3","0"
"stoke city","1976-77","first division","9","0","0","0","0","0","9","0"
"stoke city","1977-78","second division","0","0","0","0","0","0","0","0"
"stoke city","1978-79","second division","1","0","0","0","0","0","1","0"
"stoke city","1979-80","first division","1","0","0","0","0","0","1","0"
"stoke city","1980-81","first division","1","0","0","0","0","0","1","0"
"stoke city","total","total","15","0","0","0","0","0","15","0"
"wigan athletic","1981-82","fourth division","15","1","2","0","6","0","23","1"
"wigan athletic","1982-83","third division","14","0","2","0","0","0","16","0"
"wigan athletic","total","total","29","1","4","0","6","0","39","1"
"port vale","1982-83","fourth division","5","0","0","0","0","0","5","0"
"crewe alexandra","1983-84","fourth division","2","0","0","0","1","0","3","0"
"career total","career total","career total","51","1","4","0","7","0","62","1"
