"geographic region","median assessment value","median before-tax income","median value-to-income ratio"
"geographic region","dollars","dollars","median value-to-income ratio"
"british columbia","608,000","89,600","6.8"
"vancouver","889,000","92,600","9.1"
"victoria","661,000","96,300","6.6"
"ontario","376,000","95,100","3.9"
"hamilton","399,000","98,900","4.0"
"london","248,000","90,100","2.7"
"ottawa-gatineau","370,000","117,000","3.1"
"toronto","594,000","99,000","5.7"
"nova scotia","174,000","80,700","2.1"
"halifax","238,000","97,600","2.4"
