"season","team","games","games","receiving","receiving","receiving","receiving","receiving","fumbles","fumbles"
"season","team","g","gs","rec","yds","avg","lng","td","fum","lost"
"1999","stl","16","15","52","788","15.2","63","6","3","2"
"2000","stl","16","15","82","1,635","19.9","85","6","2","2"
"2001","stl","16","14","81","1,363","16.8","51","7","2","0"
"2002","stl","16","11","91","1,302","14.3","58","4","1","1"
"2003","stl","16","15","117","1,696","14.5","48","12","1","0"
"2004","stl","16","16","94","1,372","14.6","75","10","3","1"
"2005","stl","14","14","102","1,331","13.0","44","9","2","1"
"2006","stl","16","16","93","1,188","12.8","67","10","2","1"
"2007","stl","16","16","93","1,189","12.8","40","7","2","1"
"2008","stl","16","14","64","796","12.4","45","3","0","0"
"2009","jax","15","12","51","722","14.2","63","0","1","1"
"career","career","173","158","920","13,382","14.5","85","74","19","10"
