"","2001","2006","2011","2016"
"total","percent","percent","percent","percent"
"black population","30.7","30.0","29.1","27.4"
"rest of the population","10.1","10.2","10.4","10.6"
"immigrant women","","","",""
"black population","","","",""
"total","32.2","32.0","30.7","29.2"
"caribbean and latin america","33.9","34.6","34.2","34.4"
"africa","28.9","28.2","27.0","25.1"
"other regions","21.2","20.6","17.5","18.1"
"rest of the population","9.0","9.2","9.6","9.8"
"canadian-born women","","","",""
"black population","","","",""
"second generation-total","23.8","22.8","23.4","23.3"
"caribbean and latin america","25.1","22.9","23.6","24.7"
"africa","15.6","15.6","16.4","13.1"
"other regions","20.7","26.9","26.3","20.0"
"canada","27.2","27.8","28.0","26.4"
"rest of the population","","","",""
"second generation","8.6","8.7","9.1","9.2"
"canada","10.8","11.0","11.0","11.5"
