"","provided help or care to children","provided help or care to children","average length of time spent on child care","average length of time spent on child care"
"","fathers","mothers","fathers","mothers"
"","percentage","percentage","minutes","minutes"
"number of hours worked during the reference day","","","",""
"no hours","50","70","136","191"
"less than 8 hours","58","64","113","125"
"8 or more hours","44","60","87","92"
"age of youngest child","","","",""
"0 to 4 years","72","90","132","194"
"5 to 12 years","51","68","89","118"
"13 years or older","10","24","66","76"
"place of birth","","","",""
"canada","51","69","112","152"
"rest of the world","47","61","113","160"
"region of birth","","","",""
"atlantic provinces","50","62","121","142"
"quebec","52","73","110","141"
"ontario","50","65","111","171"
"prairies","47","73","107","159"
"british columbia","62","73","140","115"
"place of residence","","","",""
"atlantic provinces","53","59","111","152"
"quebec","49","72","104","138"
"ontario","48","61","119","168"
"prairies","48","72","105","172"
"british columbia","56","66","123","119"
"educational attainment","","","",""
"high school diploma or less","43","60","110","159"
"postsecondary certificate or diploma","49","65","107","156"
"university degree","53","71","118","152"
"work schedule","","","",""
"employee, normal schedule","52","68","103","143"
"employee, non-traditional schedule","49","55","125","124"
"self-employed or unpaid family worker","40","60","120","150"
"distance between the home and workplace","","","",""
"less than 10 km","51","60","107","140"
"10 to 24 km","55","67","106","142"
"25 km or more","47","70","112","136"
