"","donor rate","donor rate","donor rate","total donations","total donations","total donations","total donations","total donations","total donations"
"","all donors","primary donors","other donors","all donors","primary donors","other donors","all donors","primary donors","other donors"
"","percentage","percentage","percentage","millions of dollars","millions of dollars","millions of dollars","breakdown","breakdown","breakdown"
"canvassing method","","","","","","","","",""
"by mail","27","48","25","1,731","1,059","672","13.6","12.6","15.4"
"by telephone","7","15","7","314","f","113","2.5","2.4","2.6"
"television or radio ad","9","12","9","249","108","141","1.9","1.3","3.2"
"online","14","23","14","855","508","348","6.7","6","7.9"
"on one's own","23","36","22","2,579","1,930","649","20.2","23","14.8"
"attending a charity event","19","30","18","568","263","304","4.4","3.1","7"
"in memoriam donation","20","33","19","600","f","272","4.7","3.9","6.2"
"at work","19","25","19","558","282","275","4.4","3.4","6.3"
"door-to-door canvassing","24","29","23","218","55","163","1.7","0.6","3.7"
"at shopping centre or on the street","34","29","35","175","26","149","1.4","0.3","3.4"
"collection at a church, synagogue, mosque or other place of worship","34","67","30","4,040","3,115","924","31.7","37.1","21.1"
"sponsoring someone","28","38","27","278","83","195","2.2","1","4.5"
"other canvassing method","8","16","7","600","432","168","4.7","5.1","3.9"
