"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1923-24","second division","21","7","0","0","1","0","22","7"
"port vale","1924-25","second division","41","26","3","7","0","0","44","33"
"port vale","1925-26","second division","40","35","1","0","0","0","41","35"
"port vale","1926-27","second division","41","38","4","3","1","0","46","41"
"port vale","1927-28","second division","37","13","3","1","0","0","40","14"
"port vale","1928-29","second division","31","15","1","0","0","0","32","15"
"port vale","total","total","211","134","12","11","2","0","225","145"
"stoke city","1929-30","second division","27","15","0","0","0","0","27","15"
"stoke city","1930-31","second division","23","14","0","0","0","0","23","14"
"stoke city","1931-32","second division","1","1","0","0","0","0","1","1"
"stoke city","total","total","51","30","0","0","0","0","51","30"
"port vale","1931-32","second division","16","4","0","0","1","0","17","4"
"port vale","1932-33","second division","33","15","1","0","0","0","34","15"
"port vale","total","total","49","19","1","0","1","0","51","19"
"career total","career total","career total","311","183","13","11","3","0","327","194"
