"","name","term","term","term","regular season","regular season","regular season","regular season","regular season","playoffs","playoffs","playoffs","accomplishments","ref"
"","name","yrs","first","last","gc","w","l","t","win%","gc","w","l","accomplishments","ref"
"1","frank filchock","2","1960","1961","28","7","20","1",".268","-","-","-","none","none"
"2","jack faulkner","3","1962","1964","32","9","22","1",".297","-","-","-","1962 upi afl coach of the year","none"
"3","mac speedie","3","1964","1966","26","6","19","1",".250","-","-","-","none","none"
"4","ray malavasi","1","1966","1966","12","4","8","0",".333","-","-","-","none","none"
"5","lou saban","4","1967","1971","65","20","42","3",".325","-","-","-","none","none"
"6","jerry smith","1","1971","1971","5","2","3","0",".400","-","-","-","none","none"
"7","john ralston","5","1972","1976","70","34","33","3",".507","-","-","-","1973 upi afc nfl coach of the year","none"
"8","red miller","4","1977","1980","62","40","22","0",".645","5","2","3","1 afc championship (1977) 1977 ap nfl coach of the year 1977 sporting news nfl coach of the year 1977 pro football weekly nfl coach of the year 1977 upi afc nfl coach of the year","none"
"9","dan reeves","13","1981","1992","184","110","73","1",".601","13","7","6","3 afc championships (1986, 1987, 1989) 1984 pro football weekly nfl coach of the year 1989 upi afc nfl coach of the year 1991 upi afc nfl coach of the year","none"
"10","wade phillips","2","1993","1994","32","16","16","0",".500","1","0","1","none","none"
"11","mike shanahan","14","1995","2008","224","138","86","0",".616","13","8","5","2 super bowl championships","none"
"12","josh mcdaniels","2","2009","2010","28","11","17","0",".393","-","-","-","none","none"
"13","eric studesville","1","2010","2010","4","1","3","0",".250","-","-","-","none","none"
"14","john fox","4","2011","2014","64","46","18","0",".719","7","3","4","1 afc championship","none"
"15","gary kubiak","2","2015","2016","32","21","11","0",".656","3","3","0","1 afc championship (2015) 1 super bowl championship","none"
"16","vance joseph","2","2017","2018","32","11","21","0",".344","-","-","-","none","none"
"17","vic fangio","none","present","present","0","0","0","0","-","none","none","none","none","none"
