"club","season","league","league","league","continental","continental","national","national","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"altas soya spor","2008-09","second league","6","0","-","-","5","1","11","1"
"altas soya spor","2009-10","regional league","10","7","-","-","22","4","32","11"
"altas soya spor","2010-11","regional league","12","2","-","-","12","0","24","2"
"altas soya spor","total","total","28","9","-","-","39","5","67","14"
"orduspor","2011-12","second league","9","3","-","-","7","0","16","3"
"orduspor","total","total","9","3","-","-","7","0","16","3"
"camlıcaspor","2012-13","first league","18","3","-","-","0","0","18","3"
"camlıcaspor","total","total","18","3","","","0","0","18","3"
"adana idmanyurduspor","2013-14","first league","12","2","-","-","0","0","12","2"
"adana idmanyurduspor","2014-15","first league","9","3","-","-","1","0","10","3"
"adana idmanyurduspor","total","total","21","5","-","-","1","0","22","5"
"besiktas j.k","2014-15","third league","10","21","-","-","0","0","10","21"
"besiktas j.k","2015-16","second league","19","11","-","-","3","0","22","11"
"besiktas j.k","2016-17","first league","17","8","-","-","0","0","17","8"
"besiktas j.k","2017-18","first league","14","5","-","-","0","0","14","5"
"besiktas j.k","2018-19","first league","9","4","-","-","0","0","9","4"
"besiktas j.k","total","total","69","49","-","-","3","0","73","49"
"career total","career total","career total","145","69","-","-","50","5","195","78"
