"","2006","2007","2008","2009","2010","2011","2012","2013"
"","percentage change","percentage change","percentage change","percentage change","percentage change","percentage change","percentage change","percentage change"
"canada","-0.1","-0.2","-0.3","-0.3","-0.3","-0.2","-0.2","-0.3"
"newfoundland and labrador","0.1","0.6","1.2","1.8","2.3","2.9","3.3","3.2"
"prince edward island","-0.2","-0.5","-0.8","-0.7","-0.3","-0.4","-0.3","-0.3"
"nova scotia","-0.1","-0.2","-0.2","-0.2","-0.1","0.0","-0.1","-0.2"
"new brunswick","0.0","0.0","0.0","0.1","0.1","0.2","0.2","0.1"
"quebec","0.1","0.2","0.3","0.4","0.6","0.6","0.7","0.6"
"ontario","-0.1","-0.3","-0.5","-0.6","-0.5","-0.6","-0.6","-0.6"
"manitoba","-0.8","-0.9","-1.1","-1.3","-1.5","-1.4","-1.2","-1.2"
"saskatchewan","-0.1","0.2","0.5","0.7","0.8","0.9","0.9","0.5"
"alberta","-0.1","0.0","0.1","0.3","0.3","0.5","0.5","0.1"
"british columbia","-0.5","-0.8","-1.1","-1.4","-1.7","-1.7","-1.6","-1.7"
