"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"flora paide","2005","iv liiga","6","4","-","-","0","0","6","4","none","none"
"flora ii","2006","esiliiga","27","8","1","1","-","-","28","9","none","none"
"flora ii","2007","esiliiga","21","4","1","0","-","-","22","4","none","none"
"flora ii","2008","esiliiga","26","4","3","1","-","-","29","5","none","none"
"flora ii","2009","esiliiga","6","0","0","0","-","-","6","0","none","none"
"flora ii","2010","esiliiga","3","0","0","0","-","-","3","0","none","none"
"flora ii","2011","esiliiga","1","0","0","0","-","-","1","0","none","none"
"flora ii","total","total","84","16","5","2","-","-","89","18","none","none"
"flora","2008","meistriliiga","4","1","0","0","0","0","2","0","6","1"
"flora","2009","meistriliiga","8","1","1","0","0","0","1","0","10","1"
"flora","2010","meistriliiga","31","6","4","2","2","0","6","0","43","8"
"flora","2011","meistriliiga","19","3","3","1","2","0","5","0","29","4"
"flora","2012","meistriliiga","26","3","4","1","2","0","1","1","33","5"
"flora","total","total","88","14","12","4","6","0","15","1","121","19"
"tulevik","2009","meistriliiga","17","5","3","0","-","-","20","5","none","none"
"ifk norrkoping","2013","allsvenskan","13","0","5","0","-","-","18","0","none","none"
"ifk norrkoping","2014","allsvenskan","0","0","0","0","-","-","0","0","none","none"
"ifk norrkoping","total","total","13","0","5","0","-","-","18","0","none","none"
"levadia","2015","meistriliiga","28","11","2","0","2","1","1","0","33","12"
"levadia","2016","meistriliiga","13","3","0","0","4","0","-","-","17","3"
"levadia","total","total","41","14","2","0","6","1","1","0","50","15"
"bohemians 1905","2016-17","czech first league","23","0","3","0","-","-","26","0","none","none"
"bohemians 1905","2017-18","czech first league","11","0","1","1","-","-","12","1","none","none"
"bohemians 1905","total","total","34","0","4","1","-","-","38","1","none","none"
"career total","career total","career total","283","53","31","7","12","1","16","1","342","62"
