"","concurrent disorders","concurrent disorders","concurrent disorders","concurrent disorders","mood/anxiety disorders only","mood/anxiety disorders only","mood/anxiety disorders only","mood/anxiety disorders only","substance use disorder only","substance use disorder only","substance use disorder only","substance use disorder only"
"","estimated number '000","%","95% confidence interval","95% confidence interval","estimated number '000","%","95% confidence interval","95% confidence interval","estimated number '000","%","95% confidence interval","95% confidence interval"
"","estimated number '000","%","from","to","estimated number '000","%","from","to","estimated number '000","%","from","to"
"total","282","1.2","1.0","1.5","1,434","6.1","5.7","6.7","898","3.8","3.5","4.3"
"sex","","","","","","","","","","","",""
"male","158","1.4","1.1","1.7","523","4.5","3.9","5.1","679","5.8","5.1","6.6"
"female","124","1.1","0.8","1.4","912","7.8","7.0","8.7","219","1.9","1.6","2.3"
"age group","","","","","","","","","","","",""
"15 to 24","120","2.7","2.0","3.7","283","6.4","5.4","7.6","403","9.1","7.9","10.4"
"25 to 44","108","1.2","0.9","1.6","612","6.6","5.8","7.6","312","3.4","2.8","4.1"
"45 to 64","53","0.6","0.4","0.8","539","5.6","4.9","6.3","183","1.9","1.4","2.5"
