"characteristic","master's","master's","master's","master's","doctoral","doctoral","doctoral","doctoral","postdocs","postdocs","postdocs","postdocs"
"characteristic","2017","2018","2019","percent change 2017-19","2017","2018","2019","percent change 2017-19","2017","2018","2019","percent change 2017-19"
"all","378587","391211","408228","7.8","270525","277096","281889","4.2","64733","64783","66247","2.3"
"male","200748","201314","205768","2.5","155699","158019","159227","2.3","38870","38661","39173","0.8"
"female","177839","189897","202460","13.8","114826","119077","122662","6.8","25863","26122","27074","4.7"
"u.s. citizens and permanent residentsa","251896","271290","287370","14.1","164585","167291","169134","2.8","30110","29622","29452","-2.2"
"male","119906","126552","131686","9.8","86517","86601","86651","0.2","16378","15934","15570","-4.9"
"female","131990","144738","155684","18","78068","80690","82483","5.7","13732","13688","13882","1.1"
"hispanic or latino","29622","32923","36777","24.2","14999","16161","17690","17.9","1659","1856","1924","16"
"not hispanic or latino","","","","","","","","","","","",""
"american indian or alaska native","1136","1219","1327","16.8","714","713","750","5","125","81","69","-44.8"
"asian","26093","28557","31301","20","15952","16750","17543","10","6045","6020","5891","-2.5"
"black or african american","23266","25878","27598","18.6","9483","10065","10450","10.2","1019","1104","1088","6.8"
"native hawaiian or other pacific islander","468","497","542","15.8","235","233","202","-14","112","55","52","-53.6"
"white","148031","156010","163836","10.7","109271","109725","108709","-0.5","17313","17232","16972","-2"
"more than one race","8119","9120","9593","18.2","5420","5744","6020","11.1","730","506","519","-28.9"
"unknown race and ethnicity","15161","17086","16396","8.1","8511","7900","7770","-8.7","3107","2768","2937","-5.5"
"temporary visa holders","126691","119921","120858","-4.6","105940","109805","112755","6.4","34623","35161","36795","6.3"
"male","80842","74762","74082","-8.4","69182","71418","72576","4.9","22492","22727","23603","4.9"
