"","women","women","women","women","men","men","men","men"
"","bottom 90%","next 5%","next 4%","top 1%","bottom 90%","next 5%","next 4%","top 1%"
"","percent","percent","percent","percent","percent","percent","percent","percent"
"distribution of hours worked","","","","","","","",""
"less than 20","18.9","8.1","8.8","10.1","11.7","4.9","5.2","5.4"
"from 20 to 39","40.5","27.8","22.0","15.9","23.2","17.0","13.1","10.5"
"from 40 to 49","34.7","48.5","46.4","40.2","50.8","54.6","50.8","42.5"
"50 and over","6.0","15.6","22.8","33.8","14.4","23.6","31.0","41.6"
"distribution of hours worked for core-aged workers","","","","","","","",""
"less than 20","14.1","6.8","7.5","7.6","6.9","3.6","3.6","3.1"
"from 20 to 39","40.2","25.8","19.9","14.0","21.1","15.0","10.5","6.8"
"from 40 to 49","39.0","51.1","48.9","42.7","56.2","56.6","52.7","43.8"
"50 and over","6.6","16.2","23.7","35.7","15.8","24.9","33.3","46.3"
