"year","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving"
"year","team","g","gs","att","yds","td","lng","y/a","rec","yds","y/r","td","lng"
"1995","ne","16","15","368","1,487","14","49","4.0","30","261","8.7","1","27"
"1996","ne","16","15","316","1,152","14","57","3.6","46","333","7.2","3","41"
"1997","ne","13","13","274","1,160","4","70","4.2","41","296","7.2","1","22"
"1998","nyj","15","15","369","1,287","8","60","3.5","43","365","8.5","1","23"
"1999","nyj","16","16","367","1,464","5","50","4.0","45","259","5.8","0","34"
"2000","nyj","16","16","316","1,204","9","55","3.8","70","508","7.3","2","31"
"2001","nyj","16","16","333","1,513","10","47","4.5","53","320","6.0","0","27"
"2002","nyj","16","16","261","1,094","7","35","4.2","49","362","7.4","0","28"
"2003","nyj","16","16","323","1,308","2","56","4.0","42","262","6.2","0","29"
"2004","nyj","16","16","371","1,697","12","25","4.6","41","245","6.0","2","22"
"2005","nyj","12","12","220","735","5","49","3.3","24","118","4.9","0","14"
"2006","nyj","did not play due to knee injury","did not play due to knee injury","did not play due to knee injury","did not play due to knee injury","did not play due to knee injury","did not play due to knee injury","did not play due to knee injury","did not play due to knee injury","did not play due to knee injury","did not play due to knee injury","did not play due to knee injury","did not play due to knee injury"
"total","total","168","166","3,518","14,101","90","70","4.0","484","3,329","6.9","10","41"
