"","2015","2016","2017","2015 to 2017"
"","percentage","percentage","percentage","percentage"
"newfoundland and labrador","0.42","0.00","1.22","0.27"
"prince edward island","0.11","0.51","0.28","0.11"
"nova scotia","0.42","0.47","0.27","0.11"
"new brunswick","1.51","0.19","0.04","0.43"
"quebec","0.05","0.07","0.18","0.10"
"ontario","0.13","0.17","0.02","0.11"
"manitoba","0.01","0.45","0.22","0.07"
"saskatchewan","0.48","0.19","0.57","0.03"
"alberta","0.44","0.46","0.26","0.10"
"british columbia","0.93","0.23","0.07","0.36"
"yukon","0.34","1.29","4.34","1.13"
"northwest territories","0.22","0.44","1.37","0.38"
"nunavut","0.25","1.56","3.02","0.40"
