"club","season","league","league","league","cup1","cup1","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"deportivo saprissa","2008-09","primera division","20","0","5","0","0","0","25","0"
"deportivo saprissa","2009-10","primera division","23","0","4","0","0","0","27","0"
"deportivo saprissa","total","total","43","0","9","0","0","0","52","0"
"albacete","2010-11","segunda division","36","0","0","0","0","0","36","0"
"levante","2011-12","la liga","1","0","5","0","0","0","6","0"
"levante","2012-13","la liga","9","0","4","0","12","0","25","0"
"levante","2013-14","la liga","37","0","2","0","0","0","39","0"
"levante","total","total","47","0","11","0","12","0","70","0"
"real madrid","2014-15","la liga","6","0","3","0","2","0","11","0"
"real madrid","2015-16","la liga","34","0","0","0","11","0","45","0"
"real madrid","2016-17","la liga","27","0","2","0","12","0","41","0"
"real madrid","2017-18","la liga","27","0","6","0","11","0","44","0"
"real madrid","2018-19","la liga","9","0","8","0","3","0","20","0"
"real madrid","total","total","103","0","19","0","39","0","161","0"
"career total","career total","career total","229","0","39","0","51","0","319","0"
