"diagnosis category","10 to 24","10 to 24","10 to 14","10 to 14","15 to 17","15 to 17","18 to 24","18 to 24"
"diagnosis category","number","%","number","%","number","%","number","%"
"organic disorders","135","0.4","30","0.6","25","0.3","80","0.4"
"substance-related disorders","4,391","13.1","133","2.6","743","7.6","3,515","18.9"
"schizophrenic and psychotic disorders","5,077","15.1","126","2.4","631","6.4","4,320","23.2"
"mood disorders","10,606","31.5","1,507","28.9","3,710","37.8","5,389","28.9"
"anxiety disorders","2,712","8.1","644","12.4","1,076","11.0","992","5.3"
"personality disorders","1,261","3.7","72","1.4","257","2.6","932","5.0"
"other disorders","9,459","28.1","2,701","51.8","3,365","34.3","3,393","18.2"
"total","33,641","100.0","5,213","100.0","9,807","100.0","18,621","100.0"
