"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"cerro","2003","primera division","2","0","0","0","0","0","0","0","2","0"
"cerro","2004","primera division","14","0","1","0","0","0","0","0","15","0"
"cerro","2005","primera division","17","1","0","0","0","0","0","0","17","1"
"cerro","2005-06","primera division","30","5","0","0","0","0","0","0","30","5"
"cerro","total","total","63","6","1","0","0","0","0","0","64","6"
"nacional","2006-07","primera division","26","0","4","0","16","2","0","0","46","2"
"nacional","total","total","26","0","4","0","16","2","0","0","46","2"
"villarreal","2007-08","la liga","24","1","3","0","7","0","0","0","34","1"
"villarreal","2008-09","la liga","31","0","0","0","7","0","0","0","38","0"
"villarreal","2009-10","la liga","36","3","2","0","6","0","0","0","44","3"
"villarreal","total","total","91","4","5","0","20","0","0","0","116","4"
"atletico madrid","2010-11","la liga","25","0","1","1","3","1","1","0","30","2"
"atletico madrid","2011-12","la liga","27","2","1","0","13","1","0","0","41","3"
"atletico madrid","2012-13","la liga","35","1","5","0","1","0","1","0","42","1"
"atletico madrid","2013-14","la liga","34","4","5","2","10","2","2","0","51","8"
"atletico madrid","2014-15","la liga","34","3","3","0","9","1","2","0","48","4"
"atletico madrid","2015-16","la liga","31","1","3","0","12","0","0","0","46","1"
"atletico madrid","2016-17","la liga","31","3","5","0","11","0","0","0","47","3"
"atletico madrid","2017-18","la liga","30","0","3","1","12","0","0","0","45","1"
"atletico madrid","2018-19","la liga","22","3","2","0","6","1","1","0","31","5"
"total","total","total","267","17","28","4","77","6","7","0","380","26"
"total","uruguay","uruguay","89","6","5","0","16","2","0","0","110","8"
"total","spain","spain","360","21","33","4","97","6","7","0","496","30"
"total","career","career","449","27","38","4","113","8","7","0","607","39"
