"year","team","game","game","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving","fumbles","fumbles"
"year","team","gp","gs","att","yds","avg","lng","td","rec","yds","avg","lng","td","fum","lost"
"2007","buf","13","13","280","1,115","4.0","56t","7","18","184","10.2","30","0","2","1"
"2008","buf","15","15","250","1,036","4.1","50","8","47","300","6.4","42","1","2","1"
"2009","buf","13","6","120","450","3.8","47","2","28","179","6.4","35","0","3","1"
"2010","buf","4","3","37","164","4.4","17","0","1","7","7.0","7","0","1","1"
"2010","sea","12","11","165","573","3.5","39","6","21","138","6.6","22","0","3","3"
"2011","sea","15","15","285","1,204","4.2","47","12","28","212","7.6","26","1","3","2"
"2012","sea","16","15","315","1,590","5.0","77t","11","23","196","8.5","27","1","5","2"
"2013","sea","16","16","301","1,257","4.2","43","12","36","316","8.8","55","2","4","1"
"2014","sea","16","14","280","1,306","4.7","79t","13","37","367","9.9","39","4","3","2"
"2015","sea","7","6","111","417","3.8","24","3","13","80","6.2","19","0","0","0"
"2017","oak","15","15","207","891","4.3","51t","7","20","151","7.6","25","0","1","1"
"2018","oak","6","6","90","376","4.2","52","3","15","84","5.6","17","0","0","0"
"career","career","148","135","2,441","10,379","4.3","79t","84","287","2,214","7.7","55","9","27","15"
