"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"san martin","2009-10","primera b nacional","1","0","0","0","-","-","0","0","1","0"
"san martin","2010-11","primera b nacional","1","0","0","0","-","-","0","0","1","0"
"san martin","2011-12","torneo argentino a","0","0","0","0","-","-","0","0","0","0"
"san martin","2012-13","torneo argentino a","9","0","0","0","-","-","6","0","15","0"
"san martin","2013-14","torneo argentino a","23","0","1","0","-","-","4","0","28","0"
"san martin","total","total","34","0","1","0","-","-","10","0","45","0"
"atletico tucuman","2014","primera b nacional","1","0","0","0","-","-","0","0","1","0"
"mitre","2015","torneo federal a","21","0","0","0","-","-","2","0","23","0"
"juventud unida","2016","primera b nacional","8","0","0","0","-","-","0","0","8","0"
"juventud unida","2016-17","primera b nacional","31","1","0","0","-","-","0","0","31","1"
"juventud unida","total","total","39","1","0","0","-","-","0","0","39","1"
"quilmes","2017-18","primera b nacional","19","0","0","0","-","-","0","0","19","0"
"quilmes","2018-19","primera b nacional","19","1","0","0","-","-","0","0","19","1"
"quilmes","total","total","38","1","0","0","-","-","0","0","38","1"
"career total","career total","career total","133","2","1","0","-","-","12","0","146","2"
