"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"norwich city","1947-48","third division south","36","1","3","2","0","0","39","3"
"norwich city","1948-49","third division south","22","11","2","1","0","0","24","12"
"norwich city","1949-50","third division south","37","14","5","3","0","0","42","17"
"norwich city","1950-51","third division south","46","13","5","1","0","0","51","14"
"norwich city","1951-52","third division south","44","11","3","1","0","0","47","12"
"norwich city","1952-53","third division south","38","7","2","0","0","0","40","7"
"norwich city","total","total","223","57","20","8","0","0","243","65"
"birmingham city","1953-54","second division","37","10","2","0","0","0","39","10"
"birmingham city","1954-55","second division","35","13","4","1","0","0","39","14"
"birmingham city","1955-56","first division","34","14","6","3","0","0","40","17"
"birmingham city","1956-57","first division","28","6","7","3","3","0","38","9"
"birmingham city","1957-58","first division","15","5","1","0","1","0","17","5"
"birmingham city","total","total","149","48","20","7","4","0","173","55"
"port vale","1957-58","third division","14","2","0","0","0","0","14","2"
"port vale","1958-59","fourth division","36","3","1","0","0","0","37","3"
"port vale","1959-60","third division","19","1","1","0","0","0","20","1"
"port vale","1960-61","third division","3","0","0","0","3","1","6","1"
"port vale","total","total","72","6","2","0","3","1","77","7"
"career total","career total","career total","444","111","42","15","7","1","493","127"
