"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"mika","2008","armenian premier league","19","2","0","0","1","0","-","-","20","2"
"energetik dushanbe","2008","tajik league","none","none","none","none","-","-","none","none","none","none"
"istiklol","2009","tajik league","none","none","none","none","-","-","none","none","none","none"
"istiklol","2010","tajik league","none","none","none","none","-","-","1","2","1","2"
"istiklol","2011","tajik league","none","none","none","none","5","1","1","1","6","2"
"istiklol","2012","tajik league","none","24","none","none","5","3","1","0","6","27"
"istiklol","2013","tajik league","17","10","none","none","-","-","17","10","none","none"
"istiklol","2014","tajik league","17","15","6","11","-","-","1","1","24","27"
"istiklol","2015","tajik league","13","6","5","4","10","3","0","0","28","13"
"istiklol","2016","tajik league","16","3","6","4","6","0","1","0","29","7"
"istiklol","2017","tajik league","20","16","5","4","11","4","1","0","37","24"
"istiklol","2018","tajik league","21","6","7","4","5","1","1","0","34","11"
"istiklol","total","total","104","80","29","28","43","12","7","4","183","124"
"career total","career total","career total","123","82","29","28","43","12","7","4","202","126"
