"type of r&d","current $millions","current $millions","current $millions","current $millions","current $millions","constant 2009 $millions","constant 2009 $millions","constant 2009 $millions","constant 2009 $millions","constant 2009 $millions"
"type of r&d","2013","2014","2015","2016 preliminary","2017 projected","2013","2014","2015","2016 preliminary","2017 projected"
"all r&d and r&d plant","127291","132496","131398","142555","145408","119399","122195","119561","127692","127955"
"r&d","125386","130279","128573","140070","142608","117612","120150","116991","125466","125491"
"research","59198","62909","63645","67761","69744","55528","58018","57912","60696","61373"
"basic","29779","31588","31527","33227","34323","27933","29132","28687","29763","30203"
"applied","29419","31321","32118","34533","35421","27595","28886","29225","30932","31169"
"development","66188","67370","64928","72309","72865","62084","62132","59079","64770","64119"
"science and technology","13471","14313","15279","16339","16311","12636","13200","13903","14635","14353"
"major systemsa","52717","53057","49649","55971","56554","49448","48932","45177","50135","49766"
"r&d plant","1905","2218","2825","2485","2799","1787","2046","2571","2226","2463"
