"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"manchester city","1987-88","second division","5","0","0","0","0","0","0","0","5","0"
"manchester city","1988-89","second division","8","1","0","0","4","0","0","0","12","1"
"manchester city","1989-90","first division","5","0","0","0","0","0","0","0","5","0"
"manchester city","1990-91","first division","2","0","0","0","1","1","0","0","3","1"
"blackburn rovers","1990-91","second division","4","0","0","0","0","0","0","0","4","0"
"port vale","1991-92","second division","5","1","0","0","0","0","0","0","5","1"
"birmingham city","1991-92","third division","4","1","0","0","0","0","1","0","5","1"
"birmingham city","1992-93","first division","3","1","0","0","0","0","0","0","3","1"
"birmingham city","1993-94","first division","0","0","0","0","0","0","0","0","0","0"
"bury","1993-94","third division","3","0","0","0","0","0","0","0","3","0"
"stoke city","1994-95","first division","4","0","0","0","0","0","1","0","5","0"
"millwall","1994-95","first division","9","0","0","0","0","0","0","0","9","0"
"northampton town","1995-96","third division","1","0","1","0","0","0","2","0","4","0"
"career total","career total","career total","53","4","1","0","5","1","4","0","63","5"
