"fiscal year","all federal obligations","all federal obligations","research and development","research and development","r&d plant","r&d plant","facilities and equipment for instruction in s&e","facilities and equipment for instruction in s&e","fellowships, traineeships, and training grants","fellowships, traineeships, and training grants","general support for s&e","general support for s&e","other s&e activities","other s&e activities"
"fiscal year","all federal obligations","all federal obligations","research and development","research and development","r&d plant","r&d plant","facilities and equipment for instruction in s&e","facilities and equipment for instruction in s&e","fellowships, traineeships, and training grants","fellowships, traineeships, and training grants","general support for s&e","general support for s&e","other s&e activities","other s&e activities"
"fiscal year","all federal obligations","all federal obligations","research and development","research and development","r&d plant","r&d plant","facilities and equipment for instruction in s&e","facilities and equipment for instruction in s&e","","","","","other s&e activities","other s&e activities"
"fiscal year","","","","","r&d plant","r&d plant","facilities and equipment for instruction in s&e","facilities and equipment for instruction in s&e","","","","","",""
"fiscal year","arra","non-arra","arra","non-arra","arra","non-arra","arra","non-arra","arra","non-arra","arra","non-arra","arra","non-arra"
"fiscal year","arra","non-arra","arra","non-arra","arra","non-arra","arra","non-arra","arra","non-arra","arra","non-arra","arra","non-arra"
"","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions"
"2007","na","28182","na","24998","na","279","na","13","na","1101","na","222","na","1569"
"2008","na","28389","na","25489","na","275","na","4","na","916","na","300","na","1405"
"2009","5886","29601","5201","26578","404","386","0","5","41","925","45","197","194","1509"
"2010","5138","30190","3578","27055","1194","467","0","6","32","1103","212","142","121","1417"
"2011","na","31427","na","27939","na","323","na","4","na","1013","na","208","na","1941"
"","constant fy 2005 $millions","constant fy 2005 $millions","constant fy 2005 $millions","constant fy 2005 $millions","constant fy 2005 $millions","constant fy 2005 $millions","constant fy 2005 $millions","constant fy 2005 $millions","constant fy 2005 $millions","constant fy 2005 $millions","constant fy 2005 $millions","constant fy 2005 $millions","constant fy 2005 $millions","constant fy 2005 $millions"
"2007","na","26472","na","23481","na","262","na","12","na","1034","na","209","na","1474"
"2008","na","26062","na","23399","na","252","na","4","na","841","na","275","na","1290"
"2009","5327","26788","4707","24052","366","349","0","5","37","837","41","178","176","1366"
"2010","4607","27071","3208","24260","1071","419","0","5","29","989","190","127","109","1271"
"2011","na","27635","na","24568","na","284","na","4","na","891","na","183","na","1707"
