"club","season","league","league","league","cup","cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"northern spirit","2003-04","national soccer league","1","0","-","-","1","0","none","none"
"northern tigers","2004","national premier leagues nsw 2","17","4","-","-","28","8","none","none"
"gretna","2007-08","scottish premier league","9","0","2","0","-","-","11","0"
"sitrling albion","2007-08","scottish first division","10","1","0","0","-","-","10","1"
"greenock morton","2007-08","scottish first division","5","0","0","0","-","-","5","0"
"greenock morton","2008-09","scottish first division","27","3","5","1","-","-","32","4"
"greenock morton","2009-10","scottish first division","26","3","1","0","-","-","27","3"
"greenock morton","total","total","58","6","6","1","-","-","64","7"
"brisbane roar","2010-11","a-league","33","4","-","-","33","4","none","none"
"brisbane roar","2011-12","a-league","30","4","-","-","30","4","none","none"
"brisbane roar","2012-13","a-league","16","2","-","-","6","0","22","2"
"brisbane roar","total","total","79","10","-","-","6","0","85","10"
"tianjin teda","2013","chinese super league","30","4","0","0","-","-","30","4"
"muangthong united","2014","thai premier league","21","2","none","none","-","-","21","2"
"melbourne city","2014-15","a-league","26","3","0","0","-","-","26","3"
"melbourne city","2015-16","a-league","16","4","2","0","-","-","18","4"
"melbourne city","total","total","42","7","2","0","-","-","44","7"
"jeonbuk hyundai motors","2016","k league classic","2","0","0","0","4","0","6","0"
"al kharaitiyat","2016-17","qatar stars league","9","0","0","0","-","-","9","0"
"bengaluru","2017-18","indian super league","18","3","3","0","11","2","32","5"
"career total","career total","career total","296","37","13","1","21","2","330","40"
