"nationality","2000","2000","2010","2010"
"nationality","population","%","population","%"
"han","1,129,384","75.14%","1,075,852","75.31%"
"hui","173,563","11.55%","136,013","12.15%"
"kazakh","119,942","7.98%","133,286","8.40%"
"uyghur","58,984","3.92%","63,606","4.13%"
"mongols","6,062","0.40%","5,214","0.42%"
"dongxiang","2,908","0.19%","3,176","0.20%"
"manchu","2,828","0.19%","2,264","0.16%"
"uzbek","2,189","0.15%","1,727","0.15%"
"tujia","","","1,171","0.08%"
"others","7,237","0.48%","6,278","0.44%"
"total","1,503,097","100%","1428587","100%"
