"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"stoke city","1998-99","second division","4","0","0","0","0","0","1","0","5","0"
"stoke city","1999-2000","second division","42","5","1","0","3","0","9","3","55","8"
"stoke city","2000-01","second division","44","8","1","0","5","2","4","0","54","10"
"stoke city","2001-02","second division","43","2","4","0","0","0","3","1","50","3"
"stoke city","2002-03","first division","43","0","3","0","1","0","0","0","47","0"
"stoke city","total","total","176","16","9","0","9","2","17","4","211","22"
"west bromwich albion","2003-04","first division","30","0","1","0","5","0","0","0","36","0"
"west bromwich albion","2004-05","premier league","0","0","1","0","1","0","0","0","2","0"
"west bromwich albion","total","total","30","0","2","0","6","0","0","0","38","0"
"burnley","2004-05","championship","21","2","1","0","1","0","0","0","23","2"
"burnley","2005-06","championship","45","3","1","0","3","0","0","0","49","3"
"burnley","2006-07","championship","42","3","1","0","1","0","0","0","44","3"
"burnley","2007-08","championship","29","3","1","0","3","0","0","0","33","3"
"burnley","total","total","137","11","4","0","8","0","0","0","149","11"
"sheffield wednesday","2008-09","championship","41","0","1","0","1","0","0","0","43","0"
"sheffield wednesday","2009-10","championship","44","3","1","0","1","0","0","0","46","3"
"sheffield wednesday","2010-11","league one","36","2","4","0","2","0","3","2","45","4"
"sheffield wednesday","2011-12","league one","18","1","1","0","2","0","1","0","22","1"
"sheffield wednesday","total","total","139","6","7","0","6","0","4","2","156","8"
"career total","career total","career total","482","33","22","0","29","2","21","6","554","41"
