"australia","first innings","first innings","second innings","second innings"
"batsman","method of dismissal","runs","method of dismissal","runs"
"a. r. morris","c compton b bedser","51","not out","54"
"i. w. g. johnson","c evans b bedser","1","c crapp b young","6"
"* d. g. bradman","lbw b pollard","7","not out","30"
"a. l. hassett","c washbrook b young","38","",""
"k. r. miller","lbw b pollard","31","",""
"s. g. barnes","retired hurt","1","",""
"s. j. e. loxton","b pollard","36","",""
"+ d. tallon","c evans b edrich","18","",""
"r. r. lindwall","c washbrook b bedser","23","",""
"w. a. johnston","c crapp b bedser","3","",""
"e. r. h. toshack","not out","0","",""
"extras","","12","","2"
"total","(93 overs)","221","(61 overs)","92/1"
