"incident characteristics","men","men","men","women","women","women"
"incident characteristics","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"incident characteristics","percent","from","to","percent","from","to"
"number of perpetrators","","","","","",""
"always one","79.3","72.7","84.6","77.2","73.8","80.3"
"always two or more","6.4","3.6","11.3","5.3","3.8","7.5"
"it varied","5.0","2.6","9.2","9.2","7.2","11.7"
"don't know","6.7","3.8","11.4","6.3","4.7","8.6"
"gender of perpetrators","","","","","",""
"always men only","18.6","13.7","24.9","89.9","87.2","92.1"
"always women only","63.1","55.6","70.1","2.0","1.1","3.6"
"sometimes men, sometimes women","12.0","7.6","18.3","3.7","2.4","5.6"
"don't know","f","..","..","2.9","1.8","4.6"
"alcohol use by perpetrator","","","","","",""
"yes","54.8","47.2","62.2","48.4","44.4","52.3"
"no","32.9","26.3","40.2","37.1","33.5","41.0"
"don't know","11.8","7.9","17.3","13.4","10.9","16.4"
"relationship of perpetrator","","","","","",""
"student at their school","61.1","53.4","68.3","60.1","56.2","63.9"
"friend or acquaintance","32.8","26.2","40.3","35.8","31.9","39.8"
"stranger","24.1","18.4","31.0","34.7","31.0","38.6"
"student at another school","16.0","11.3","22.2","21.8","18.6","25.3"
"dating partner or married or common-law spouse","7.2","4.3","11.9","10.3","8.1","12.9"
"casual dating partner","11.7","7.6","17.6","11.6","9.2","14.5"
"member of a club or team to which they belong","f","..","..","3.4","2.2","5.2"
"co-worker, staff member, security staff, tutor or other","7.9","4.6","13.3","6.4","4.8","8.6"
"supervisor or boss, coach, professor or instructor at their school, teaching assistant","f","..","..","2.0","1.1","3.6"
"don't know","5.3","2.7","9.9","5.0","3.5","7.1"
