"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"old boys","2010-11","swiss 1. liga","7","0","0","0","-","-","-","-","7","0"
"old boys","2011-12","swiss 1. liga","21","0","0","0","-","-","-","-","21","0"
"old boys","2012-13","1. liga promotion","27","2","0","0","-","-","-","-","27","2"
"old boys","2013-14","1. liga promotion","0","0","1","0","-","-","-","-","1","0"
"old boys","total","total","55","2","1","0","-","-","-","-","56","2"
"luzern u21","2013-14","swiss 1. liga","12","2","0","0","-","-","-","-","12","2"
"luzern u21","2014-15","swiss 1. liga","6","0","0","0","-","-","-","-","6","0"
"luzern u21","total","total","18","2","0","0","-","-","-","-","18","2"
"luzern","2013-14","swiss super league","8","0","0","0","-","-","-","-","8","0"
"luzern","2014-15","swiss super league","10","0","0","0","-","-","-","-","10","0"
"luzern","total","total","18","0","0","0","-","-","-","-","18","0"
"sheriff tiraspol","2015-16","moldovan national division","9","0","0","0","-","-","-","-","9","0"
"sheriff tiraspol","2016-17","moldovan national division","1","0","0","0","1","0","-","-","2","0"
"sheriff tiraspol","total","total","10","0","0","0","1","0","-","-","11","0"
"slaven belupo","2016-17","croatian first football league","22","0","2","0","-","-","-","-","24","0"
"slaven belupo","total","total","22","0","2","0","-","-","-","-","24","0"
"skenderbeu korce","2017-18","albanian superliga","30","1","3","0","6","0","-","-","39","1"
"skenderbeu korce","2018-19","albanian superliga","19","0","0","0","-","-","1","1","20","1"
"skenderbeu korce","total","total","49","1","3","0","6","0","1","1","59","2"
"kalmar","2019","allsvenskan","0","0","0","0","0","0","0","0","0","0"
"kalmar","total","total","0","0","0","0","0","0","0","0","0","0"
"career total","career total","career total","172","4","6","0","7","0","1","1","186","5"
