"source country","syria","iraq","afghanistan","eritrea","democratic republic of the congo","other countries","total, excluding syria","total"
"source country","number","number","number","number","number","number","number","number"
"number of refugees","25,035","3,075","1,695","2,030","1,130","7,650","15,580","40,615"
"","age","age","age","age","age","age","age","age"
"median age","18","26","22","27","21","21","23","21"
"","percent","percent","percent","percent","percent","percent","percent","percent"
"government-assisted refugees","52.8","62.0","14.5","26.4","78.8","67.3","55.9","54.0"
"refugees admitted in 2016","71.3","19.7","28.6","34.2","27.0","26.8","26.6","54.1"
"distribution across age groups at the time of admission","","","","","","","",""
"0 to 14","44.2","29.3","26.0","28.1","23.9","34.6","31.0","39.1"
"15 to 29","20.2","27.0","37.5","33.0","49.1","32.7","33.3","25.2"
"30 to 59","32.3","36.9","31.0","38.2","23.0","30.0","32.0","32.2"
"60 and over","3.3","6.8","5.3","1.2","4.4","2.7","3.7","3.4"
"distribution by sex, total population","","","","","","","",""
"women","48.6","44.9","52.2","43.2","50.9","46.8","46.9","47.9"
"men","51.4","55.1","48.1","56.5","48.7","53.1","53.1","52.1"
"distribution by sex, population aged 15 to 29","","","","","","","",""
"women","52.2","43.0","50.4","46.3","49.5","47.4","46.9","49.6"
"men","47.7","57.6","49.6","53.7","51.4","52.6","53.1","50.4"
