"type of offence","2018r","2018r","2019","2019","change in rate 2018 to 2019","change in rate 2009 to 2019"
"type of offence","number","rate","number","rate","percent","percent"
"total drug offences","84,927","229","70,140","187","-19","-36"
"total cannabis offences","36,579","99","16,868","45","..",".."
"cannabis - possession","26,402","71","46","0","..",".."
"cannabis - trafficking","3,387","9","20","0","..",".."
"cannabis - production or importation/exportation","5,281","14","214","1","..",".."
"cannabis (cannabis act) - possession","459","1","1,818","5","..",".."
"cannabis (cannabis act) - distribution","189","1","955","3","..",".."
"cannabis (cannabis act) - sale","244","1","1,078","3","..",".."
"cannabis (cannabis act) - importation or exportation","342","1","11,193","30","..",".."
"cannabis (cannabis act) - production","102","0","907","2","..",".."
"cannabis (cannabis act) - other","173","0","637","2","..",".."
"total other drug offences","48,348","130","53,272","142","9","47"
"cocaine - possession","7,027","19","6,732","18","-6","-21"
"cocaine - trafficking","6,969","19","7,995","21","13","-26"
"cocaine - production or importation/exportation","613","2","595","2","-4","47"
"methamphetamine - possession","10,546","28","10,849","29","1","1,127"
"methamphetamine - trafficking","2,718","7","3,228","9","17","642"
"methamphetamine - production or importation/exportation","583","2","369","1","-38","871"
"ecstasy - possession","284","1","231","1","-20","-57"
"ecstasy - trafficking","129","0","118","0","-10","-60"
"ecstasy - production or importation/exportation","805","2","318","1","-61","629"
"heroin - possession","2,282","6","2,342","6","1","342"
"heroin - trafficking","866","2","708","2","-19","125"
"heroin - production or importation/exportation","204","1","140","0","-32","132"
"opioids (not heroin) - possession","1,494","4","2,346","6","55",".."
"opioids (not heroin) - trafficking","933","3","1,355","4","43",".."
"opioids (not heroin) - production or importation/exportation","78","0","65","0","-18",".."
"other drugs - possession","7,050","19","7,964","21","11",".."
"other drugs - trafficking","3,449","9","5,288","14","51",".."
"other drugs - production or importation/exportation or other","2,318","6","2,629","7","12",".."
