"beliefs about personal safety","experienced sexual assault","experienced sexual assault","experienced sexual assault","did not experience sexual assault","did not experience sexual assault","did not experience sexual assault","experienced unwanted sexualized behaviours","experienced unwanted sexualized behaviours","experienced unwanted sexualized behaviours","did not experience unwanted sexualized behaviours","did not experience unwanted sexualized behaviours","did not experience unwanted sexualized behaviours"
"beliefs about personal safety","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"beliefs about personal safety","percent","from","to","percent","from","to","percent","from","to","percent","from","to"
"school tries hard to ensure student safety","","","","","","","","","","","",""
"agree or strongly agree","79","63","90","91","88","93","89","85","93","89","85","91"
"neither agree nor disagree","f","..","..","7","5","9","f","..","..","9","7","12"
"disagree or strongly disagree","f","..","..","f","..","..","f","..","..","f","..",".."
"feel safe on school campus","","","","","","","","","","","",""
"agree or strongly agree","82","67","91","94","92","95","91","87","94","92","89","94"
"neither agree nor disagree","f","..","..","4","3","6","f","..","..","5","4","8"
"disagree or strongly disagree","f","..","..","f","..","..","f","..","..","f","..",".."
"feel safe walking alone on campus after dark","","","","","","","","","","","",""
"agree or strongly agree","82","67","91","92","90","94","89","85","92","91","88","94"
"neither agree nor disagree","f","..","..","5","4","7","f","..","..","7","5","10"
"disagree or strongly disagree","f","..","..","f","..","..","f","..","..","f","..",".."
"feel safe using public transportation alone after dark","","","","","","","","","","","",""
"agree or strongly agree","57","41","72","83","80","86","73","68","78","84","80","87"
"neither agree nor disagree","f","..","..","10","8","13","10","7","15","11","8","15"
"disagree or strongly disagree","f","..","..","5","4","8","13","9","18","4","2","6"
"feel safe at home alone after dark","","","","","","","","","","","",""
"agree or strongly agree","88","75","95","95","94","97","93","89","95","94","92","96"
"neither agree nor disagree","f","..","..","3","2","4","f","..","..","4","3","7"
"disagree or strongly disagree","f","..","..","f","..","..","f","..","..","f","..",".."
"feel safe and not fearful of who they are or are perceived to be","","","","","","","","","","","",""
"agree or strongly agree","70","54","82","91","88","93","85","80","89","90","87","92"
"neither agree nor disagree","f","..","..","6","4","8","6","4","10","7","5","9"
"disagree or strongly disagree","f","..","..","f","..","..","6","4","10","f","..",".."
