"","average difference between the debt-to-income ratio of families with positive expectations and that of other families","average difference between the debt-to-income ratio of families with positive expectations and that of other families","average debt-to-income ratio","average debt-to-income ratio"
"","homeowners","renters","homeowners","renters"
"","percentage points","percentage points","percent","percent"
"all family units","32.2","6.2","116.5","27.8"
"age of major income earner","","","",""
"25 to 34","46.4","-0.3","208.1","39.3"
"35 to 54","28.1","5.8","145.5","28.2"
"55 or older","26.6","9.3","59.1","13.0"
"education level of major income earner","","","",""
"high school or less","31.3","8.0","94.9","20.5"
"postsecondary education","30.0","8.3","130.8","33.4"
"university degree","34.4","-1.4","132.2","38.1"
"immigration status of major income earner","","","",""
"landed immigrant","43.9","4.1","129.4","24.2"
"canadian-born","29.2","6.5","113.2","28.8"
"1999","28.7","5.8","100.0","25.2"
"2005","29.8","5.8","113.7","27.1"
"2016","37.8","7.4","133.1","30.7"
