"club","season","league","league","cup","cup","europe","europe","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals"
"beroe","1999-00","27","7","2","0","-","-","29","7"
"beroe","total","27","7","2","0","0","0","29","7"
"cska sofia","2000-01","26","12","3","1","4","2","33","15"
"cska sofia","2001-02","25","5","6","3","3","0","34","8"
"cska sofia","2002-03","16","1","6","0","3","0","25","1"
"cska sofia","2003-04","28","11","8","7","4","0","40","18"
"cska sofia","2004-05","29","22","2","1","4","1","35","24"
"cska sofia","2005-06","22","3","5","1","8","1","35","5"
"cska sofia","total","146","54","30","13","25","4","201","71"
"grenoble","2006-07","27","3","?","?","-","-","27","3"
"grenoble","2007-08","21","3","?","?","-","-","21","3"
"grenoble","2008-09","2","0","?","?","-","-","2","0"
"grenoble","total","50","6","0","0","0","0","50","6"
"litex lovech","2009-10","26","6","2","0","2","0","30","6"
"litex lovech","2010-11","27","5","4","0","6","0","37","5"
"litex lovech","2011-12","25","5","3","2","6","2","34","9"
"litex lovech","total","78","16","9","2","14","2","101","20"
"cska sofia","2012-13","0","0","0","0","2","0","2","0"
"panetolikos","2012-13","13","0","0","0","-","-","13","0"
"slavia sofia","2013-14","7","0","1","0","-","-","8","0"
"career totals","career totals","321","83","42","15","41","6","404","104"
