"","years since immigration","years since immigration","years since immigration","years since immigration","years since immigration"
"","1991 cohort","1991 cohort","1991 cohort","2006 cohort","2006 cohort"
"","1","5","20","1","5"
"","log point","log point","log point","log point","log point"
"men","","","","",""
"four years of canadian study, no canadian work experience","-0.148","-0.132","-0.070","-0.220","-0.223"
"four years of canadian study, three years of canadian work experience with low prior earnings","0.031","0.047","0.108","0.035","0.032"
"four years of canadian study, three years of canadian work experience with medium prior earnings","0.208","0.225","0.286","0.354","0.351"
"four years of canadian study, three years of canadian work experience with high prior earnings","0.610","0.626","0.688","0.787","0.784"
"four years of canadian study, one year of canadian work experience with high prior earnings","0.564","0.581","0.642","0.764","0.761"
"women","","","","",""
"four years of canadian study, no canadian work experience","0.003","0.004","-0.012","0.040","-0.073"
"four years of canadian study, three years of canadian work experience with low prior earnings","0.089","0.090","0.075","0.284","0.170"
"four years of canadian study, three years of canadian work experience with medium prior earnings","0.317","0.318","0.302","0.588","0.475"
"four years of canadian study, three years of canadian work experience with high prior earnings","0.744","0.746","0.730","1.032","0.919"
"four years of canadian study, one year of canadian work experience with high prior earnings","0.754","0.755","0.739","1.033","0.920"
