"club","league","season","league","league","cup","cup","europe","europe","other","other","total","total"
"club","league","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"milan","serie a","2011-12","0","0","0","0","1","0","0","0","1","0"
"milan","serie a","2012-13","0","0","0","0","0","0","-","-","0","0"
"milan","total","total","0","0","0","0","1","0","0","0","1","0"
"lumezzane","serie c","2013-14","12","0","1","0","-","-","13","0","none","none"
"barletta","serie c","2013-14","6","0","0","0","-","-","6","0","none","none"
"como","lega pro","2014-15","35","11","2","0","-","-","5","4","42","15"
"como","serie b","2015-16","35","16","0","0","-","-","35","16","none","none"
"como","total","total","70","27","2","0","-","-","5","4","77","31"
"hellas verona","serie b","2016-17","21","4","3","1","-","-","24","5","none","none"
"pescara","serie b","2017-18","5","0","3","1","-","-","8","1","none","none"
"ascoli","serie b","2017-18","0","0","0","0","-","-","0","0","none","none"
"career total","career total","career total","114","31","9","2","1","0","5","4","129","37"
