"","employed","potential workers","potential workers","potential workers","potential workers","not potential workers","not potential workers","not potential workers","not potential workers"
"","employed","unemployed","future job-seekers","other potential workers","total","completely prevented from working","permanently retired","other","total"
"","number","number","number","number","number","number","number","number","number"
"population","1,057,100","125,700","175,200","110,800","411,600","204,700","632,600","32,300","869,600"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"gender","","","","","","","","",""
"women","51.3","53.2","51.1","55.9","53.0","53.6","54.6","78.3","55.2"
"men","48.7","46.8","48.9","44.1","47.0","46.4","45.4","21.7","44.8"
"age group","","","","","","","","",""
"15 to 24","7.3","16.9","24.8","23.6","22.1","9.0","f","18.6","3.2"
"25 to 34","11.7","15.0","21.9","18.8","18.9","13.4","1.2","f","4.3"
"35 to 44","18.1","30.0","17.6","18.8","21.7","16.2","6.7","f","9.2"
"45 to 54","34.7","23.6","23.3","23.6","23.5","29.2","24.4","f","25.1"
"55 to 64","28.2","14.5","12.3","15.3","13.8","32.2","67.3","47.4","58.3"
"severity","","","","","","","","",""
"mild","45.9","30.5","24.7","30.2","28.0","9.8","18.0","f","15.9"
"moderate","22.0","14.6","20.7","16.9","17.8","12.5","18.2","f","16.9"
"severe","19.3","32.7","26.5","30.1","29.4","28.2","23.1","41.5","25.0"
"very severe","12.8","22.3","28.1","22.7","24.9","49.5","40.6","28.5","42.2"
"highest level of education","","","","","","","","",""
"less than high school diploma","13.1","18.6","26.0","34.9","26.1","47.7","27.3","60.7","33.3"
"high school diploma","28.0","26.8","31.2","31.4","29.9","26.9","30.6","38.4","30.0"
"college diploma","40.0","38.3","29.2","26.8","31.4","18.4","31.3","f","27.2"
"university degree","19.0","16.4","13.7","6.9","12.7","7.0","10.7","f","9.5"
"condition existed at birth","","","","","","","","",""
"yes","12.3","15.9","17.9","20.4","18.0","23.9","6.8","17.1","11.3"
"when last worked","","","","","","","","",""
"last worked this year","..","51.6","29.2","20.5","33.9","4.8","4.5","0.0","4.4"
"last worked in 2011","..","11.5","11.6","9.1","10.9","6.0","4.8","0.0","4.9"
"last worked over 2007-2010","..","26.6","33.9","28.0","30.1","20.7","27.8","0.0","25.1"
"last worked prior to 2007","..","5.4","18.7","30.2","17.5","43.3","62.9","0.0","55.9"
"never worked","..","5.0","6.8","12.1","7.6","25.2","0.0","100.0","9.8"
"income sources","","","","","","","","",""
"social assistance","3.7","25.8","21.7","30.9","25.4","31.7","19.4","27.7","22.6"
"workers' compensation","8.4","8.9","4.7","5.1","6.1","5.3","9.3","f","8.0"
"cpp-d or qpp-d","3.3","7.3","13.5","16.4","12.3","43.4","39.9","f","39.5"
"long-term disability benefit","5.4","5.8","9.9","5.3","7.4","25.8","15.2","f","17.5"
"employment insurance","11.5","15.0","10.3","7.4","11.0","4.3","2.3","f","2.7"
"occupation type","","","","","","","","",""
"science, health, education, law, arts and recreation, and related","27.8","24.5","17.5","17.9","20.1","23.8","16.8","..","20.8"
"business, finance, and administration","15.9","14.3","15.7","11.6","14.4","12.7","19.2","..","15.5"
"management","9.8","2.2","5.7","f","4.2","f","f","..","f"
"sales and service","25.6","31.7","31.8","41.6","33.8","29.8","34.0","..","31.6"
"trades, transportation, natural resources, manufacturing, utilities, and related","21.0","27.3","29.3","24.4","27.6","28.3","29.4","..","28.8"
"currently attending school","","","","","","","","",""
"yes","6.3","14.9","22.4","20.3","19.6","f","f","0.0","f"
"low income status","","","","","","","","",""
"low income","8.8","27.3","29.3","29.0","28.6","24.7","22.1","f","22.7"
"household income","","","","","","","","",""
"less than $40,000","21.4","40.6","40.4","38.3","39.9","44.7","41.9","49.5","42.8"
"between $40,000 and $80,000","34.8","28.6","26.5","26.8","27.2","28.7","30.8","24.5","30.1"
"greater than $80,000","43.9","30.8","33.2","34.8","32.9","26.6","27.3","25.7","27.1"
"marital status","","","","","","","","",""
"married or common-law","61.7","42.2","37.3","49.9","42.2","39.8","61.3","32.0","55.2"
"single, separated, or widowed","38.3","57.8","62.6","50.1","57.8","60.2","38.7","68.0","44.8"
