"","linked cctlp tumour cohort","tumours with one or more surgical interventions","tumours with one or more surgical interventions"
"","number","number","percentage"
"canada","50,740","44,780","88.2"
"newfoundland and labrador","1,055","965","91.5"
"prince edward island","330","305","91.8"
"nova scotia","2,090","1,875","89.7"
"new brunswick","1,555","1,410","90.7"
"ontario","26,095","22,565","86.5"
"manitoba","2,390","2,040","85.3"
"saskatchewan","1,940","1,740","89.6"
"alberta","6,185","5,575","90.1"
"british columbia","8,970","8,195","91.3"
"yukon","60","50","84.2"
"northwest territories","60","50","86.7"
"nunavut","15","15","93.3"
