"year","single","peak positions","peak positions","peak positions","peak positions","peak positions","peak positions","album"
"year","single","aus","fra","jpn","nz","uk","us dance","album"
"1995","it's alright","4","22","-","43","35","none","imagination"
"1996","imagination","37","none","none","none","none","none","imagination"
"1996","i like the way","67","none","64","none","37","4","imagination"
"1996","i'm not in love","86","none","none","none","none","none","imagination"
"1997","dream your dream","none","none","52","none","none","none","remix your imagination"
"1998","joy","94","-","-","none","47","13","remix your imagination"
"1998","delicious","none","none","none","none","52","none","pay attention"
"2000","pull up to the bumper","36","none","none","none","none","none","a delicious collection"
"2001","frenzy","53","none","none","none","none","none","a delicious collection"
"2006","water for chocolate","102","none","none","none","none","none","water for chocolate"
"2006","son of a preacher man","129","none","none","none","none","none","water for chocolate"
"2007","5 days of rain","202","none","none","none","none","none","water for chocolate"
"2007","i only have eyes for you","-","none","none","none","none","none","the other woman"
"2008","takin' it to the streets","-","none","none","none","none","none","single-only"
"2012",""love is in control (finger on the trigger)" deni hines & the a-funk allstars)","-","none","none","none","none","none","single-only"
"2016","what about love","-","none","none","none","none","none","the soul sessions"
"2017","i got your back","-","none","none","none","none","none","the soul sessions"
