"province/territory","first nations","first nations","inuit","inuit","non-indigenous comparison group","non-indigenous comparison group"
"province/territory","non-employer","employer","non-employer","employer","non-employer","employer"
"province/territory","dollars per resident","dollars per resident","dollars per resident","dollars per resident","dollars per resident","dollars per resident"
"newfoundland and labrador","-58","-1,020","187","363","375","1,310"
"prince edward island","x","x","..","..","823","1,431"
"nova scotia","-219","675","..","..","3,855","1,924"
"new brunswick","3,531","-45","..","..","1,331","1,633"
"quebec","179","592","249","320","1,223","2,360"
"ontario","16","-71","..","..","864","1,146"
"manitoba","40","-54","..","..","1,770","3,391"
"saskatchewan","153","267","..","..","3,511","5,165"
"alberta","554","-106","..","..","3,265","4,007"
"british columbia","1,014","2,136","..","..","604","2,214"
"yukon","x","-9,604","..","..","396","904"
"northwest territories","..","x","441","1,038","1,133","4,735"
"nunavut","..","..","408","2,459","",""
"canada","413","485","357","1,761","1,573","2,614"
