"type of work","2000","2010","2012","2013","2014","2015","2016","2017a","2018b"
"current $billions","current $billions","current $billions","current $billions","current $billions","current $billions","current $billions","current $billions","current $billions","current $billions"
"all r&d","267.9","406.6","433.6","454","475.4","493.7","515.6","547.9","580"
"basic research","42","76","73.4","78.6","82.1","83.5","88.6","91.5","96.5"
"applied research","56.5","79.2","87","88.2","91.8","97.2","104.8","108.8","115"
"experimental development","169.4","251.4","273.3","287.1","301.5","312.9","322.2","347.6","368.5"
"constant 2012 $billions","constant 2012 $billions","constant 2012 $billions","constant 2012 $billions","constant 2012 $billions","constant 2012 $billions","constant 2012 $billions","constant 2012 $billions","constant 2012 $billions","constant 2012 $billions"
"all r&d","343.2","423","433.6","446.1","458.7","471.4","487.4","508.3","525.3"
"basic research","53.8","79.1","73.4","77.2","79.3","79.8","83.8","84.8","87.4"
"applied research","72.4","82.4","87","86.7","88.6","92.9","99.1","100.9","104.1"
"experimental development","217","261.6","273.3","282.2","290.9","298.8","304.5","322.5","333.8"
"percent distribution","percent distribution","percent distribution","percent distribution","percent distribution","percent distribution","percent distribution","percent distribution","percent distribution","percent distribution"
"all r&d","100","100","100","100","100","100","100","100","100"
"basic research","15.7","18.7","16.9","17.3","17.3","16.9","17.2","16.7","16.6"
"applied research","21.1","19.5","20.1","19.4","19.3","19.7","20.3","19.9","19.8"
"experimental development","63.2","61.8","63","63.3","63.4","63.4","62.5","63.4","63.5"
