"province and territory","2015 population","municipal police services","provincial police services","royal canadian mounted police","royal canadian mounted police","total police officers","police officers per 100,000 population","percent change in rate","percent change in rate"
"province and territory","2015 population","municipal police services","provincial police services","contract policing","federal and other policing","total police officers","police officers per 100,000 population","2014 to 2015","2005 to 2015"
"province and territory","number","number","number","number","number","number","rate","percent","percent"
"newfoundland and labrador","527,756","..","393","401","95","889","168","-0.4","11.7"
"prince edward island","146,447","97","..","102","27","226","154","-4.4","0.0"
"nova scotia","943,002","863","..","810","182","1,855","197","-1.6","13.6"
"new brunswick","753,871","437","..","688","153","1,278","170","-0.8","-2.2"
"quebec","8,263,600","9,521","5,555","..","935","16,011","194","-1.7","-0.4"
"ontario","13,792,052","18,414","6,137","..","1,654","26,205","190","-0.6","1.6"
"manitoba","1,293,378","1,589","..","815","198","2,602","201","-2.7","5.1"
"saskatchewan","1,133,637","1,041","..","988","257","2,286","202","-1.3","-0.4"
"alberta","4,196,457","4,209","..","2,596","350","7,155","171","0.5","6.2"
"british columbia","4,683,139","2,534","..","5,265","879","8,678","185","-0.9","4.5"
"yukon","37,428","..","..","112","18","130","347","-4.8","-7.7"
"northwest territories","44,088","..","..","181","20","201","456","4.4","14.4"
"nunavut","36,919","..","..","116","15","131","355","7.6","-11.1"
"provincial and territorial total","35,851,774","38,705","12,085","12,074","4,783","67,647","189","-0.9","2.2"
"royal canadian mounted police headquarters and training academy","..","..","..","..","1,130","1,130","..","..",".."
"canada","35,851,774","38,705","12,085","12,074","5,913","68,777","192","-0.9","1.4"
