"","distribution of immigrant owners","distribution of immigrant owners","distribution of immigrant owners"
"","number","percent","share of taxfilers"
"immigrant class","","",""
"family class","49,790","28.0","0.043"
"economic class","77,500","43.5","0.050"
"business class","21,600","12.1","0.091"
"refugees","20,160","11.3","0.035"
"other","8,960","5.0","0.030"
"all immigrant classes","178,010","100.0","0.046"
"principal applicants only","","",""
"economic class","47,100","..","0.062"
"business class","9,670","..","0.150"
