"england","first innings","first innings","second innings","second innings"
"batsman","method of dismissal","runs","method of dismissal","runs"
"l. hutton","b johnson","20","c johnson b lindwall","13"
"c. washbrook","c tallon b lindwall","8","c tallon b toshack","37"
"w. j. edrich","b lindwall","5","c johnson b toshack","2"
"d. c. s. compton","c miller b johnston","53","c miller b johnston","29"
"h. e. dollery","b lindwall","0","b lindwall","37"
"* n. w. d. yardley","b lindwall","44","b toshack","11"
"a. coxon","c & b johnson","19","lbw b toshack","0"
"+ t. g. evans","c miller b johnston","9","not out","24"
"j. c. laker","c tallon b johnson","28","b lindwall","0"
"a. v. bedser","b lindwall","9","c hassett b johnston","9"
"d. v. p. wright","not out","13","c lindwall b toshack","4"
"extras","","7","","20"
"total","(102.4 overs)","215","(78.1 overs)","186"
