"title","album details","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications"
"title","album details","us","aus","aut","can","fin","ger","nz","swe","swi","uk","certifications"
"the unraveling","released: april 24, 2001 (us) label: fat wreck chords format: cd, lp, digital download","-","-","-","-","-","-","-","-","-","-","none"
"revolutions per minute","released: april 8, 2003 (us) label: fat wreck chords format: cd, lp, digital download","-","-","-","-","-","-","-","-","-","-","none"
"siren song of the counter culture","released: august 10, 2004 (us) label: geffen format: cd, lp, digital download","136","-","-","-","-","-","-","-","-","-","us: gold aus: gold can: platinum ger: gold"
"the sufferer & the witness","released: july 4, 2006 (us) label: geffen format: cd, lp, digital download","10","21","75","5","-","77","-","-","98","171","us: gold aus: gold can: platinum ger: gold uk: silver"
"appeal to reason","released: october 7, 2008 (us) label: dgc/interscope format: cd, lp, digital download","3","7","34","1","-","21","34","51","44","68","us: gold aus: gold can: 2× platinum ger: gold uk: silver"
"endgame","released: march 15, 2011 (us) label: dgc/interscope format: cd, lp, digital download","2","2","3","1","42","1","6","6","12","27","aus: gold can: platinum ger: platinum"
"the black market","released: july 15, 2014 (us) label: interscope format: cd, lp, digital download","3","3","3","1","22","1","6","-","5","13","can: gold ger: gold"
"wolves","released: june 9, 2017 (us) label: virgin format: cd, lp, digital download","9","5","5","3","-","5","20","-","11","38","none"
""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory"
