"","women","men"
"","predicted probability","predicted probability"
"age group","",""
"18 to 24","0.11","0.07"
"25 to 34","0.10","0.07"
"35 to 44","0.07","0.06"
"45 to 54","0.07","0.04"
"55 to 64","0.04","0.03"
"65 and over","0.03","0.04"
"region","",""
"atlantic","0.08","0.05"
"quebec","0.05","0.04"
"ontario","0.08","0.06"
"west","0.08","0.06"
"marital status","",""
"married","0.06","0.04"
"common-law","0.08","0.03"
"separated/divorced","0.11","0.11"
"single","0.09","0.08"
"education","",""
"high school diploma or less","0.07","0.05"
"postsecondary education below the bachelor's level","0.07","0.06"
"bachelor's degree or higher","0.08","0.06"
"parents' education","",""
"both have a university degree","0.10","0.07"
"at least one has a university degree","0.09","0.06"
"neither has a university degree","0.07","0.05"
"do not know either parent's education level","0.04","0.05"
"household income","",""
"less than $40,000","0.11","0.04"
"$40,000 to $79,999","0.07","0.06"
"$80,000 or more","0.07","0.05"
"not stated","0.08","0.06"
"aboriginal identity","",""
"aboriginal","0.09","0.06"
"non-aboriginal","0.07","0.05"
"respondent's birthplace","",""
"born in canada","0.08","0.05"
"born outside canada","0.07","0.06"
"visible minority status","",""
"visible minority","0.06","0.04"
"not a visible minority","0.08","0.06"
"sexual orientation","",""
"heterosexual","0.08","0.05"
"homosexual/bisexual","0.07","0.07"
"experience of abuse before age 15","",""
"experienced physical abuse or sexual abuse","0.10","0.07"
"experienced both physical and sexual abuse","0.15","0.14"
"none","0.06","0.04"
"witnessed violence involving at least one parent before age 15","",""
"yes","0.10","0.08"
"no","0.07","0.05"
"experienced discrimination in the past five years","",""
"yes","0.13","0.10"
"no","0.06","0.04"
