"type of request","owned by","owned by","owned by","owned by","total"
"type of request","immigrants","immigrants","immigrants","canadian-born","total"
"type of request","less than 20 years in canada","20 years or more in canada","all immigrants","canadian-born","total"
"type of request","percent","percent","percent","percent","percent"
"non-residential mortgage","3.0","3.9","3.6","4.5","4.3"
"term loan","4.7","5.3","5.1","8.8","8.0"
"business line of credit","13.2","9.6","10.5","14.8","13.8"
"business credit card","12.1","8.4","9.3","11.2","10.8"
"any debt financing","25.8","20.6","22.0","28.3","26.9"
"lease","8.0","4.9","5.8","7.9","7.4"
"trade credit","18.8","18.6","18.7","19.5","19.3"
"equity","2.5","1.5","1.8","1.5","1.6"
"government financing","2.6","2.7","2.7","4.5","4.1"
