"","people who in the past month were only in contact with people with the same mother tongue as their own","people who in the past month were only in contact with people with the same mother tongue as their own","people who in the past month were only in contact with people with the same mother tongue as their own"
"","2003","2008","2013"
"","percentage","percentage","percentage"
"total","60","63","60"
"men","58","61","58"
"women","62","65","62"
"age group","","",""
"15 to 24 years","54","56","53"
"25 to 34 years","60","59","55"
"35 to 44 years","62","63","56"
"45 to 54 years","62","67","62"
"55 to 64 years","61","67","66"
"65 to 74 years","60","68","67"
"75 years and older","63","67","69"
"province","","",""
"newfoundland and labrador","85","86","82"
"prince edward island","71","76","69"
"nova scotia","72","74","69"
"new brunswick","60","61","59"
"quebec","68","69","66"
"ontario","53","58","54"
"manitoba","59","63","64"
"saskatchewan","67","74","69"
"alberta","63","65","61"
"british columbia","54","60","57"
