"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"swansea city","1972-73","third division","38","5","0","0","2","0","40","5"
"manchester city","1970-71","first division","5","0","0","0","2","0","7","0"
"manchester city","1971-72","first division","1","0","0","0","1","0","2","0"
"manchester city","total","total","6","0","0","0","3","0","9","0"
"crystal palace","1973-74","second division","22","2","1","0","0","0","23","2"
"crystal palace","1974-75","third division","36","1","0","0","3","0","39","1"
"crystal palace","1975-76","third division","29","1","4","0","3","1","36","2"
"crystal palace","total","total","87","4","5","0","6","1","98","5"
"sheffield wednesday","1976-77","third division","34","1","2","0","5","0","41","1"
"sheffield wednesday","1977-78","third division","39","1","1","0","5","1","45","2"
"sheffield wednesday","1978-79","third division","38","3","9","1","4","0","51","4"
"sheffield wednesday","1979-80","third division","35","1","1","0","0","0","36","1"
"sheffield wednesday","1980-81","second division","34","0","1","0","3","1","38","1"
"sheffield wednesday","total","total","180","6","14","1","17","2","211","9"
"newport county","1981-82","third division","34","2","0","0","4","0","38","2"
"newport county","1982-83","third division","0","0","0","0","1","0","1","0"
"newport county","total","total","34","2","0","0","5","0","39","2"
"gillingham","1982-83","third division","31","2","3","1","3","1","37","4"
"gillingham","1983-84","third division","32","2","5","0","1","0","38","2"
"gillingham","1984-85","third division","25","0","1","0","6","0","32","0"
"gillingham","total","total","88","4","5","0","6","1","99","5"
"port vale","1985-86","fourth division","10","1","0","0","6","0","16","1"
"career total","career total","career total","443","22","28","2","49","4","520","28"
