"increase in part-time employment","men aged","men aged","men aged","men aged","women aged"
"increase in part-time employment","17 to 24","25 to 29","30 to 54","55 to 64","17 to 24"
"increase in part-time employment","percentage points","percentage points","percentage points","percentage points","percentage points"
"from 1976 to 1995","","","","",""
"involuntary part-time employment","10.0","3.6","1.9","2.4","15.3"
"voluntary part-time employment","3.2","0.7","0.7","3.5","4.2"
"total","13.2","4.3","2.6","5.9","19.5"
"from 1997 to 2014","","","","",""
"involuntary part-time employment","-0.5","0.0","-0.1","0.4","-2.1"
"voluntary part-time employment","3.9","0.8","0.7","-0.2","4.2"
"total","3.4","0.8","0.6","0.2","2.1"
