"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"newcastle united","1904-05","first division","25","4","8","2","0","0","33","6"
"newcastle united","1905-06","first division","35","8","8","1","0","0","43","9"
"newcastle united","1906-07","first division","26","3","1","0","1","0","28","3"
"newcastle united","1907-08","first division","8","0","0","0","0","0","8","0"
"newcastle united","1908-09","first division","5","0","0","0","0","0","5","0"
"newcastle united","1909-10","first division","7","0","1","0","0","0","8","0"
"newcastle united","total","total","106","15","18","3","1","0","125","18"
"tottenham hotspur","1910-11","first division","5","0","2","0","0","0","7","0"
"port vale","1912-13","central league","23","1","4","4","0","0","27","5"
