"club","season","league","league","cup","cup","other","other","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals"
"barnsley","1925-26","none","none","none","none","none","none","none","none"
"barnsley","1926-27","none","none","none","none","none","none","none","none"
"barnsley","1927-28","none","none","none","none","none","none","none","none"
"total","total","78","18","none","none","none","none","78","18"
"manchester city","1927-28","12","2","none","none","none","none","12","2"
"manchester city","1928-29","42","14","1","0","none","none","43","14"
"manchester city","1929-30","40","16","5","1","none","none","45","17"
"manchester city","1930-31","42","16","1","0","none","none","43","16"
"manchester city","1931-32","42","10","5","3","none","none","47","13"
"manchester city","1932-33","42","15","7","6","none","none","49","21"
"manchester city","1933-34","38","8","8","3","none","none","46","11"
"manchester city","1934-35","40","17","1","0","1","0","42","17"
"manchester city","1935-36","40","13","3","3","none","none","43","16"
"manchester city","1936-37","42","20","4","2","none","none","46","22"
"manchester city","1937-38","36","16","4","1","1","0","41","17"
"manchester city","1938-39","34","11","2","0","1","0","37","11"
"manchester city","1939-40","3","1","none","none","5","2","8","3"
"total","total","450","158","41","19","8","2","499","179"
"career total","career total","528","176","41","19","8","2","577","197"
