"","distribution in 2011","distribution in 2011","distribution in 2011","change from 2000 to 2011","change from 2000 to 2011","change from 2000 to 2011"
"","employment","job vacancy rate","average hourly wage","hard-to-fill positions","professional positions","average hourly wage"
"","thousands","percent","dollars","percent","percent","percent"
"all sectors","14,221","2.7","22.59","2.2","17.6","8.9"
"forestry, logging and support activities for forestry","39","f","22.87","6.7","2.3","-0.9"
"mining, quarrying, and oil and gas extraction","208","6.4","33.01","2.6","14.8","17.3"
"utilities","125","0.2","33.82","0.1","22.0","10.3"
"construction","855","3.0","24.82","3.9","2.3","10.8"
"manufacturing","1,489","2.0","22.95","1.6","7.6","4.3"
"wholesale trade","749","2.3","23.56","2.0","5.0","10.8"
"retail trade","1,919","1.4","15.48","f","2.4","6.1"
"transportation and warehousing","698","3.0","22.77","2.2","3.3","4.2"
"information and cultural industries","331","2.9","25.93","1.5","25.8","5.1"
"finance and insurance","690","1.7","26.62","1.1","25.6","8.8"
"real estate and renting and leasing","243","2.2","20.61","2.1","6.1","17.0"
"professional, scientific and technical services","795","4.2","28.76","4.7","46.3","9.7"
"management of companies and enterprises","107","3.2","26.06","1.5","45.7","-1.6"
"administrative and support, waste management and remediation services","745","3.4","17.11","2.5","4.4","11.3"
"educational services","1,246","1.6","29.43","0.5","63.3","8.6"
"health care and social assistance","1,679","4.3","24.23","3.3","27.9","12.4"
"arts, entertainment and recreation","227","2.5","17.99","1.5","8.5","16.5"
"accommodation and food services","1,090","2.6","13.17","2.8","0.8","11.5"
"other services","524","3.1","19.50","2.8","13.8","11.0"
"public administration","463","2.4","29.34","0.6","27.0","19.3"
