"year","total crime severity index","total crime severity index","violent crime severity index","violent crime severity index","non-violent crime severity index","non-violent crime severity index"
"year","index","percent change from previous year","index","percent change from previous year","index","percent change from previous year"
"2009","87.8","-3","94.3","-1","85.3","-4"
"2010","82.9","-6","89.2","-5","80.5","-6"
"2011","77.6","-6","85.7","-4","74.5","-7"
"2012","75.5","-3","82.0","-4","73.0","-2"
"2013","68.9","-9","74.0","-10","66.9","-8"
"2014","66.9","-3","70.7","-4","65.4","-2"
"2015","70.4","5","75.3","7","68.4","5"
"2016","72.0","2","76.9","2","70.1","2"
"2017","73.6","2","81.3","6","70.7","1"
"2018r","75.6","3","83.6","3","72.6","3"
"2019","79.5","5","89.7","7","75.6","4"
"percent change 2009 to 2019","-9","..","-5","..","-11",".."
