"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"valerenga","2010","tippeligaen","0","0","0","0","-","-","0","0","none","none"
"valerenga","2011","tippeligaen","6","1","0","0","0","0","-","-","6","1"
"valerenga","2012","tippeligaen","14","2","2","1","-","-","16","3","none","none"
"valerenga","2013","tippeligaen","4","0","1","0","-","-","5","0","none","none"
"valerenga","total","total","24","3","3","1","none","none","none","none","27","4"
"ullensaker/kisa","2011","adeccoligaen","5","0","1","0","-","-","6","0","none","none"
"stabæk","2013","adeccoligaen","12","4","0","0","-","-","12","4","none","none"
"ullensaker/kisa","2014","adeccoligaen","14","2","3","3","-","-","17","5","none","none"
"rabotnicki","2014-15","1. mfl","27","7","5","0","2","0","-","-","34","7"
"rabotnicki","2015-16","1. mfl","2","2","0","0","8","1","-","-","10","3"
"rabotnicki","total","total","29","9","5","0","10","1","none","none","44","10"
"amkar perm","2015-16","russian premier league","14","1","2","0","-","-","16","1","none","none"
"amkar perm","2016-17","russian premier league","10","1","2","0","-","-","12","1","none","none"
"amkar perm","total","total","24","2","4","0","none","none","none","none","28","2"
"kairat","2017","kazakhstan premier league","20","4","4","0","4","0","1","0","29","4"
"kairat","2018","kazakhstan premier league","9","4","0","0","0","0","0","0","9","4"
"kairat","total","total","29","8","4","0","4","0","1","0","38","8"
"career total","career total","career total","137","28","20","4","14","1","1","0","174","33"
